video_id,datetime,title
_1f-o0nqpEI,2025-02-03T00:12:13Z,"DeepSeek, China, OpenAI, NVIDIA, xAI, TSMC, Stargate, and AI Megaclusters | Lex Fridman Podcast #459"
OHWnPOKh_S0,2025-01-26T20:47:42Z,"Marc Andreessen: Trump, Power, Tech, AI, Immigration &amp; Future of America | Lex Fridman Podcast #458"
Rz-4ulRKnz4,2025-01-19T19:27:52Z,"Jennifer Burns: Milton Friedman, Ayn Rand, Economics, Capitalism, Freedom | Lex Fridman Podcast #457"
u321m25rKXc,2025-01-05T19:00:47Z,"Volodymyr Zelenskyy: Ukraine, War, Peace, Putin, Trump, NATO, and Freedom | Lex Fridman Podcast #456"
yhZAXXI83-4,2024-12-22T22:31:58Z,Adam Frank: Alien Civilizations and the Search for Extraterrestrial Life | Lex Fridman Podcast #455
9xz8i90Hp2A,2024-12-08T16:36:29Z,"Saagar Enjeti: Trump, MAGA, DOGE, Obama, FDR, JFK, History &amp; Politics | Lex Fridman Podcast #454"
8NLzc9kobDk,2024-11-19T19:08:35Z,"Javier Milei: President of Argentina - Freedom, Economics, and Corruption | Lex Fridman Podcast #453"
ugvHCXCOmm4,2024-11-11T19:29:13Z,"Dario Amodei: Anthropic CEO on Claude, AGI &amp; the Future of AI &amp; Humanity | Lex Fridman Podcast #452"
abd5hguWKz0,2024-10-30T18:06:12Z,"Rick Spence: CIA, KGB, Illuminati, Secret Societies, Cults &amp; Conspiracies | Lex Fridman Podcast #451"
MzkgWDCucNY,2024-10-23T20:19:21Z,Bernie Sanders Interview | Lex Fridman Podcast #450
NMHiLvirCb0,2024-10-16T12:16:21Z,Graham Hancock: Lost Civilization of the Ice Age &amp; Ancient Human History | Lex Fridman Podcast #449
q8VePUwjB9Y,2024-10-11T18:03:40Z,"Jordan Peterson: Nietzsche, Hitler, God, Psychopathy, Suffering &amp; Meaning | Lex Fridman Podcast #448"
oFfVt3S51T4,2024-10-06T18:43:14Z,Cursor Team: Future of Programming with AI | Lex Fridman Podcast #447
AzzE7GOvYz8,2024-09-30T17:23:24Z,"Ed Barnhart: Maya, Aztec, Inca, and Lost Civilizations of South America | Lex Fridman Podcast #446"
Q8Qk_3a3lUw,2024-09-25T17:59:15Z,"Vivek Ramaswamy: Trump, Conservatism, Nationalism, Immigration, and War | Lex Fridman Podcast #445"
s1oTH4Sjvzg,2024-09-20T20:30:55Z,"Vejas Liulevicius: Communism, Marxism, Nazism, Stalin, Mao, and Hitler | Lex Fridman Podcast #444"
DyoVVSggPjY,2024-09-12T19:05:50Z,Gregory Aldrete: The Roman Empire - Rise and Fall of Ancient Rome | Lex Fridman Podcast #443
qCbfTN-caFI,2024-09-03T16:21:05Z,Donald Trump Interview | Lex Fridman Podcast #442
QJtPROVsePk,2024-08-30T16:05:27Z,"Cenk Uygur: Trump vs Harris, Progressive Politics, Communism &amp; Capitalism | Lex Fridman Podcast #441"
oFtjKbXKqbg,2024-08-20T19:28:23Z,"Pieter Levels: Programming, Viral AI Startups, and Digital Nomad Life | Lex Fridman Podcast #440"
J7aiEwp1x9k,2024-08-14T19:52:22Z,"Craig Jones: Jiu Jitsu, $2 Million Prize, CJI, ADCC, Ukraine &amp; Trolling | Lex Fridman Podcast #439"
WA9gVKKPsBo,2024-07-21T22:41:18Z,"Jordan Jonas: Survival, Hunting, Siberia, God, and Winning Alone Season 6 | Lex Fridman Podcast #437"
2oxdDKHdcM8,2024-07-02T20:31:21Z,"Ivanka Trump: Politics, Family, Real Estate, Fashion, Music, and Life | Lex Fridman Podcast #436"
ZIyB9e_7a4c,2024-06-27T23:13:11Z,"Andrew Huberman: Focus, Controversy, Politics, and Relationships | Lex Fridman Podcast #435"
e-gwvmhyU7A,2024-06-19T20:42:46Z,"Aravind Srinivas: Perplexity CEO on Future of AI, Search &amp; the Internet | Lex Fridman Podcast #434"
